Code,Name,Value
en,SOPPENG,SOPPENG
en,"SIDENRENG RAPPANG","SIDENRENG RAPPANG"
en,PINRANG,PINRANG
en,LUWU,LUWU
en,"TANA TORAJA","TANA TORAJA"
en,"LUWU UTARA","NORTH LUWU"
en,"LUWU TIMUR","EAST LUWU"
en,"TORAJA UTARA","NORTH TORAJA"
en,PAREPARE,PAREPARE
en,"KONAWE SELATAN","SOUTH KONAWE"
en,BOMBANA,BOMBANA
en,WAKATOBI,WAKATOBI
en,"KOLAKA UTARA","NORTH KOLAKA"
en,"BUTON UTARA","NORTH BUTON"
en,"KONAWE UTARA","NORTH KONAWE"
en,"KOLAKA TIMUR","EAST KOLAKA"
en,"KONAWE KEPULAUAN","KONAWE ISLANDS"
en,"MUNA BARAT","WEST MUNA"
en,"BUTON TENGAH","CENTRAL BUTON"
en,"BUTON SELATAN","SOUTH BUTON"
en,BAUBAU,BAUBAU
en,BOALEMO,BOALEMO
en,"BONE BOLANGO","BONE BOLANGO"
en,"GORONTALO UTARA","NORTH GORONTALO"
en,MAJENE,MAJENE
en,"POLEWALI MANDAR","POLEWALI MANDAR"
en,"MAMUJU UTARA","NORTH MAMUJU"
en,"MAMUJU TENGAH","CENTRAL MAMUJU"
en,"MALUKU TENGGARA BARAT","WEST MALUKU TENGGARA"
en,"MALUKU TENGGARA","SOUTHEAST MALUKU"
en,"MALUKU TENGAH","CENTRAL MALUKU"
en,"KEPULAUAN ARU","ARU ISLANDS"
en,"SERAM BAGIAN BARAT","WEST PART SERAM"
en,"SERAM BAGIAN TIMUR","EAST PART SERAM"
en,"MALUKU BARAT DAYA","SOUTHWEST MALUKU"
en,"BURU SELATAN","SOUTH BURU"
en,AMBON,AMBON
en,"HALMAHERA BARAT","WEST HALMAHERA"
en,"HALMAHERA TENGAH","CENTRAL HALMAHERA"
en,"KEPULAUAN SULA","SULA ISLANDS"
en,"HALMAHERA SELATAN","SOUTH HALMAHERA"
en,"HALMAHERA UTARA","NORTH HALMAHERA"
en,"HALMAHERA TIMUR","EAST HALMAHERA"
en,"PULAU MOROTAI","MOROTAI ISLAND"
en,"PULAU TALIABU","TALIABU ISLAND"
en,"TIDORE KEPULAUAN","TIDORE ISLANDS"
en,"TELUK WONDAMA","WONDAMA BAY"
en,"TELUK BINTUNI","BINTUNI BAY"
en,MANOKWARI,MANOKWARI
en,"SORONG SELATAN","SOUTH SORONG"
en,"RAJA AMPAT","RAJA AMPAT"
en,TAMBRAUW,TAMBRAUW
en,MAYBRAT,MAYBRAT
en,"PEGUNUNGAN ARFAK","ARFAK MOUNTAINS"
en,JAYAWIJAYA,JAYAWIJAYA
en,"KEPULAUAN YAPEN","YAPEN ISLANDS"
en,"BIAK NUMFOR","BIAK NUMFOR"
en,PANIAI,PANIAI
en,"BOVEN DIGOEL","BOVEN DIGOEL"
en,MAPPI,MAPPI
en,ASMAT,ASMAT
en,YAHUKIMO,YAHUKIMO
en,"PEGUNUNGAN BINTANG","BINTANG MOUNTAINS"
en,TOLIKARA,TOLIKARA
en,KEEROM,KEEROM
en,WAROPEN,WAROPEN
en,SUPIORI,SUPIORI
en,"MAMBERAMO RAYA","MAMBERAMO RAYA"
en,NDUGA,NDUGA
en,"LANNY JAYA","LANNY JAYA"
en,DEIYAI,DEIYAI
en,"TEUPAH SELATAN","SOUTH TEUPAH"
en,"SIMEULUE TIMUR","EAST SIMEULUE"
en,"TEUPAH BARAT","WEST TEUPAH"
en,"TEUPAH TENGAH","CENTRAL TEUPAH"
en,"SIMEULUE TENGAH","CENTRAL SIMEULUE"
en,"SIMEULUE CUT","SIMEULUE CUT"
en,"SIMEULUE BARAT","WEST SIMEULUE"
en,ALAFAN,ALAFAN
en,"PULAU BANYAK BARAT","WEST BANYAK ISLAND"
en,"SINGKIL UTARA","NORTH SINGKIL"
en,"DANAU PARIS","PARIS LAKE"
en,"KOTA BAHARU","BAHARU CITY"
en,TRUMON,TRUMON
en,"TRUMON TIMUR","EAST TRUMON"
en,"TRUMON TENGAH","CENTRAL TRUMON"
en,BAKONGAN,BAKONGAN
en,"BAKONGAN TIMUR","EAST BAKONGAN"
en,"KLUET SELATAN","SOUTH KLUET"
en,"KLUET TIMUR","EAST KLUET"
en,"KLUET UTARA","NORTH KLUET"
en,"PASIE RAJA","PASIE RAJA"
en,"KLUET TENGAH","CENTRAL KLUET"
en,"TAPAK TUAN","TAPAK TUAN"
en,MEUKEK,MEUKEK
en,"LABUHAN HAJI TIMUR","EAST LABUHAN HAJI"
en,"LABUHAN HAJI BARAT","WEST LABUHAN HAJI"
en,"LAWE ALAS","LAWE ALAS"
en,"BABUL RAHMAH","BABUL RAHMAH"
en,"LAWE SIGALA-GALA","LAWE SIGALA-GALA"
en,SEMADAM,SEMADAM
en,"BUKIT TUSAM","TUSAM HILL"
en,"LAWE BULAN","LAWE BULAN"
en,BADAR,BADAR
en,"DARUL HASANAH","DARUL HASANAH"
en,"DELENG POKHKISEN","DELENG POKHKISEN"
en,PEUNARON,PEUNARON
en,"BIREM BAYEUN","BIREM BAYEUN"
en,"PEUREULAK TIMUR","EAST PEUREULAK"
en,"PEUREULAK BARAT","WEST PEUREULAK"
en,"RANTO PEUREULAK","RANTO PEUREULAK"
en,"IDI RAYEUK","IDI RAYEUK"
en,PEUDAWA,PEUDAWA
en,"BANDA ALAM","BANDA ALAM"
en,"IDI TUNONG","IDI TUNONG"
en,"DARUL IHSAN","DARUL IHSAN"
en,"IDI TIMUR","EAST IDI"
en,NURUSSALAM,NURUSSALAM
en,"DARUL FALAH","DARUL FALAH"
en,JULOK,JULOK
en,"INDRA MAKMUR","INDRA MAKMUR"
en,"PANTE BIDARI","PANTE BIDARI"
en,"SIMPANG ULIM","SIMPANG ULIM"
en,"JAGONG JEGET","JAGONG JEGET"
en,"LUT TAWAR","LUT TAWAR"
en,KEBAYAKAN,KEBAYAKAN
en,BIES,BIES
en,"SILIH NARA","SILIH NARA"
en,KETOL,KETOL
en,"RUSIP ANTARA","RUSIP ANTARA"
en,"JOHAN PAHLAWAN","JOHAN PAHLAWAN"
en,SAMATIGA,SAMATIGA
en,BUBON,BUBON
en,"ARONGAN LAMBALEK","ARONGAN LAMBALEK"
en,WOYLA,WOYLA
en,"WOYLA BARAT","WEST WOYLA"
en,"WOYLA TIMUR","EAST WOYLA"
en,"KAWAY XVI","KAWAY XVI"
en,"PANTAI CEUREMEN","PANTAI CEUREMEN"
en,"PANTON REU","PANTON REU"
en,"SUNGAI MAS","MAS RIVER"
en,LHOONG,LHOONG
en,LHOKNGA,LHOKNGA
en,LEUPUNG,LEUPUNG
en,"KUTA COT GLIE","KUTA COT GLIE"
en,"KOTA JANTHO","JANTHO CITY"
en,"LEMBAH SEULAWAH","SEULAWAH VALLEY"
en,"MESJID RAYA","MESJID RAYA"
en,BAITUSSALAM,BAITUSSALAM
en,MONTASIK,MONTASIK
en,"KRUENG BARONA JAYA","KRUENG BARONA JAYA"
en,"KUTA MALAKA","KUTA MALAKA"
en,"DARUL IMARAH","DARUL IMARAH"
en,"DARUL KAMAL","DARUL KAMAL"
en,"PEUKAN BADA","PEUKAN BADA"
en,"PULO ACEH","PULO ACEH"
en,GEUMPANG,GEUMPANG
en,"GLUMPANG TIGA","GLUMPANG TIGA"
en,"GLUMPANG BARO","GLUMPANG BARO"
en,"MUTIARA TIMUR","EAST MUTIARA"
en,TIRO/TRUSEB,TIRO/TRUSEB
en,TANGSE,TANGSE
en,KEUMALA,KEUMALA
en,TITEUE,TITEUE
en,MILA,MILA
en,"PADANG TIJI","PADANG TIJI"
en,"KEMBANG TANJONG","KEMBANG TANJONG"
en,"KOTA SIGLI","SIGLI CITY"
en,PIDIE,PIDIE
en,SAMALANGA,SAMALANGA
en,"SIMPANG MAMPLAM","SIMPANG MAMPLAM"
en,PANDRAH,PANDRAH
en,JEUNIEB,JEUNIEB
en,PEULIMBANG,PEULIMBANG
en,PEUDADA,PEUDADA
en,JULI,JULI
en,"KOTA JUANG","JUANG CITY"
en,JANGKA,JANGKA
en,PEUSANGAN,PEUSANGAN
en,"PEUSANGAN SELATAN","SOUTH PEUSANGAN"
en,"PEUSANGAN SIBLAH KRUENG","PEUSANGAN SIBLAH KRUENG"
en,"GANDA PURA","GANDA PURA"
en,NISAM,NISAM
en,"NISAM ANTARA","NISAM ANTARA"
en,"BANDA BARO","BANDA BARO"
en,"SIMPANG KERAMAT","SIMPANG KERAMAT"
en,"SYAMTALIRA BAYU","SYAMTALIRA BAYU"
en,"GEUREUDONG PASE","GEUREUDONG PASE"
en,"MEURAH MULIA","MEURAH MULIA"
en,MATANGKULI,MATANGKULI
en,"PIRAK TIMU","PIRAK TIMU"
en,"TANAH JAMBO AYE","TANAH JAMBO AYE"
en,SEUNUDDON,SEUNUDDON
en,BAKTIYA,BAKTIYA
en,"BAKTIYA BARAT","WEST BAKTIYA"
en,LHOKSUKON,LHOKSUKON
en,"TANAH LUAS","TANAH LUAS"
en,SAMUDERA,SAMUDERA
en,"SYAMTALIRA ARON","SYAMTALIRA ARON"
en,"TANAH PASIR","TANAH PASIR"
en,"MUARA BATU","MUARA BATU"
en,DEWANTARA,DEWANTARA
en,MANGGENG,MANGGENG
en,"LEMBAH SABIL","SABIL VALLEY"
en,TANGAN-TANGAN,TANGAN-TANGAN
en,"BLANG PIDIE","BLANG PIDIE"
en,SUSOH,SUSOH
en,"KUALA BATEE","KUALA BATEE"
en,"KUTA PANJANG","KUTA PANJANG"
en,BLANGKEJEREN,BLANGKEJEREN
en,"DABUN GELANG","DABUN GELANG"
en,"BLANG PEGAYON","BLANG PEGAYON"
en,"PANTAN CUACA","PANTAN CUACA"
en,"TRIPE JAYA","TRIPE JAYA"
en,"TAMIANG HULU","TAMIANG HULU"
en,"BANDAR PUSAKA","BANDAR PUSAKA"
en,"KEJURUAN MUDA","KEJURUAN MUDA"
en,SERUWAY,SERUWAY
en,BENDAHARA,BENDAHARA
en,"BANDA MULIA","BANDA MULIA"
en,SEKERAK,SEKERAK
en,"MANYAK PAYED","MANYAK PAYED"
en,"TRIPA MAKMUR","TRIPA MAKMUR"
en,"KUALA PESISIR","KUALA PESISIR"
en,"TADU RAYA","TADU RAYA"
en,"BEUTONG ATEUH BANGGALANG","BEUTONG ATEUH BANGGALANG"
en,SEUNAGAN,SEUNAGAN
en,"SUKA MAKMUE","SUKA MAKMUE"
en,"SEUNAGAN TIMUR","EAST SEUNAGAN"
en,"PASIE RAYA","PASIE RAYA"
en,PANGA,PANGA
en,"KRUENG SABEE","KRUENG SABEE"
en,SAMPOINIET,SAMPOINIET
en,"DARUL HIKMAH","DARUL HIKMAH"
en,"INDRA JAYA","INDRA JAYA"
en,"PINTU RIME GAYO","PINTU RIME GAYO"
en,"BENER KELIPAH","BENER KELIPAH"
en,"SYIAH UTAMA","SYIAH UTAMA"
en,MESIDAH,MESIDAH
en,MEUREUDU,MEUREUDU
en,"MEURAH DUA","MEURAH DUA"
en,"BANDAR DUA","BANDAR DUA"
en,"JANGKA BUYA","JANGKA BUYA"
en,ULIM,ULIM
en,PANTERAJA,PANTERAJA
en,MEURAXA,MEURAXA
en,BAITURRAHMAN,BAITURRAHMAN
en,"KUTA RAJA","KUTA RAJA"
en,"SYIAH KUALA","SYIAH KUALA"
en,"ULEE KARENG","ULEE KARENG"
en,"LANGSA TIMUR","EAST LANGSA"
en,"LANGSA LAMA","LANGSA LAMA"
en,"LANGSA BARAT","WEST LANGSA"
en,"LANGSA BARO","LANGSA BARO"
en,"LANGSA KOTA","LANGSA CITY AREA"
en,"BLANG MANGAT","BLANG MANGAT"
en,"MUARA SATU","MUARA SATU"
en,"BANDA SAKTI","BANDA SAKTI"
en,"SULTAN DAULAT","SULTAN DAULAT"
en,"IDANO GAWO","IDANO GAWO"
en,ULUGAWO,ULUGAWO
en,GIDO,GIDO
en,"MA U","MA U"
en,"SOMOLO - MOLO","SOMOLO - MOLO"
en,"HILI SERANGKAI","HILI SERANGKAI"
en,BOTOMUZOI,BOTOMUZOI
en,SINUNUKAN,SINUNUKAN
en,"BATANG NATAL","BATANG NATAL"
en,"LINGGA BAYU","LINGGA BAYU"
en,"RANTO BAEK","RANTO BAEK"
en,KOTANOPAN,KOTANOPAN
en,"ULU PUNGKUT","ULU PUNGKUT"
en,"LEMBAH SORIK MARAPI","SORIK MARAPI VALLEY"
en,"PUNCAK SORIK MARAPI","PUNCAK SORIK MARAPI"
en,"MUARA SIPONGI","MUARA SIPONGI"
en,PAKANTAN,PAKANTAN
en,"PANYABUNGAN SELATAN","SOUTH PANYABUNGAN"
en,"PANYABUNGAN BARAT","WEST PANYABUNGAN"
en,"PANYABUNGAN UTARA","NORTH PANYABUNGAN"
en,"PANYABUNGAN TIMUR","EAST PANYABUNGAN"
en,NATAL,NATAL
en,"MUARA BATANG GADIS","MUARA BATANG GADIS"
en,"BUKIT MALINTANG","MALINTANG HILL"
en,"NAGA JUANG","NAGA JUANG"
en,"BATANG ANGKOLA","BATANG ANGKOLA"
en,"TANO TOMBANGAN ANGKOLA","TANO TOMBANGAN ANGKOLA"
en,"ANGKOLA TIMUR","EAST ANGKOLA"
en,"ANGKOLA SELATAN","SOUTH ANGKOLA"
en,"ANGKOLA  BARAT","WEST ANGKOLA "
en,"ANGKOLA SANGKUNUR","ANGKOLA SANGKUNUR"
en,"BATANG TORU","BATANG TORU"
en,MARANCAR,MARANCAR
en,"MUARA BATANG TORU","MUARA BATANG TORU"
en,"SAIPAR DOLOK HOLE","SAIPAR DOLOK HOLE"
en,"AEK BILAH","AEK BILAH"
en,BADIRI,BADIRI
en,SITAHUIS,SITAHUIS
en,"SORKAM BARAT","WEST SORKAM"
en,BARUS,BARUS
en,"ANDAM DEWI","ANDAM DEWI"
en,"BARUS UTARA","NORTH BARUS"
en,MANDUAMAS,MANDUAMAS
en,SIPOHOLON,SIPOHOLON
en,"SIATAS BARITA","SIATAS BARITA"
en,"PAHAE JULU","PAHAE JULU"
en,"PAHAE JAE","PAHAE JAE"
en,SIMANGUMBAN,SIMANGUMBAN
en,SIBORONGBORONG,SIBORONGBORONG
en,BALIGE,BALIGE
en,TAMPAHAN,TAMPAHAN
en,LAGUBOTI,LAGUBOTI
en,HABINSARAN,HABINSARAN
en,BORBOR,BORBOR
en,NASSAU,NASSAU
en,PORSEA,PORSEA
en,"PINTU POHAN MERANTI","PINTU POHAN MERANTI"
en,"SIANTAR NARUMONDA","SIANTAR NARUMONDA"
en,PARMAKSIAN,PARMAKSIAN
en,ULUAN,ULUAN
en,AJIBATA,AJIBATA
en,"BONATUA LUNASI","BONATUA LUNASI"
en,"BILAH HULU","BILAH HULU"
en,"BILAH BARAT","WEST BILAH"
en,"BILAH HILIR","BILAH HILIR"
en,"PANAI HULU","PANAI HULU"
en,"PANAI TENGAH","CENTRAL PANAI"
en,"PANAI HILIR","PANAI HILIR"
en,"RANTAU SELATAN","SOUTH RANTAU"
en,"RANTAU UTARA","NORTH RANTAU"
